Sample in Buffer	Sample in Window	/UB/fft/xn_index	/UB/fft/xn_re	/UB/fft/xn_im	/UB/fft/xk_index	/UB/fft/xk_re	/UB/fft/xk_im
460	460	009F	0FC0	1342	000C	F63C	EE4E	
461	461	00A0	0462	22E0	000D	E82A	C50C	
462	462	00A1	7876	2ED0	000E	115F	2F23	
463	463	00A2	6D5C	177C	000F	08B1	0FD9	
464	464	00A3	6452	1D8C	0010	0519	0736	
465	465	00A4	5E5A	0225	0011	033D	0781	
466	466	00A5	5BF8	0675	0012	0251	040F	
467	467	00A6	5D6E	7BCF	0013	0229	0448	
468	468	00A7	62A8	635F	0014	00E7	024A	
469	469	00A8	6B06	4E1B	0015	00F5	036E	
470	470	00A9	759E	5C69	0016	0051	012D	
471	471	00AA	0168	5E8A	0017	0183	02AA	
472	472	00AB	0D0E	5446	0018	FF4C	015E	
473	473	00AC	1744	6D02	0019	003F	0433	
474	474	00AD	1EF8	67C4	001A	FAFF	FE64	
475	475	00AE	233E	3380	001B	FFBE	0350	
476	476	00AF	23B2	0EDE	001C	0210	017C	
477	477	00B0	206A	0896	001D	01A2	01A5	
478	478	00B1	19B0	1F9C	001E	030C	027F	
479	479	00B2	1036	1328	001F	005F	013F	
480	480	00B3	04E4	22E8	0020	017C	0205	
481	481	00B4	790C	0F06	0021	023D	01C4	
482	482	00B5	6DEA	17D2	0022	01B2	012D	
483	483	00B6	64C2	1E10	0023	FE7A	0119	
